鹦鹉港澳,#genre#
凤凰中文台,http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8
凤凰中文台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=190&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1 
凤凰中文台,http://125.210.152.18:9090/live/FHZW_1200.m3u8
凤凰中文台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=190&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
凤凰中文台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰资讯台,http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8
凤凰资讯台,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8 
凤凰资讯台,http://117.148.187.100/PLTV/88888888/224/3221226491/index.m3u8 
凤凰资讯台,http://125.210.152.18:9090/live/FHZX_1200.m3u8
凤凰资讯台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰香港台,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
凤凰香港台,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
凤凰香港台,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226120/1.m3u8
凤凰电影台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
凤凰电影台,rtmp://58.200.131.2:1935/livetv/fhdy
凤凰电影台,rtmp://ivi.bupt.edu.cn/livetv/fhdy
凤凰电影台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
凤凰电影台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=6d175258de742132e85e9405-157881825529454&wsIPSercert=82db4cc65e24e5963f2c368b180dc0b3&wsMonitor=0&time=1578818276184
香港卫视台,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港佛陀教育,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
TVB J2台,P2p://lino.homeunix.com:6007/59fd25e80008aaec02a88fc1476f2edf.ts
TVB J2台,P2p://lino.homeunix.com:6007/5ad32b7d000cca4049ecdf4812f47470.ts
