HANGUO,#genre#
KBS1,http://youtv.dothome.co.kr/ch/public/1.php
KBS1,http://youtv.dothome.co.kr/ch/public/11.php
KBS1,http://youtv.dothome.co.kr/ch/public/12.php
KBS1,http://mytv.dothome.co.kr/ch/public/1.php
KBS1,http://mytv.dothome.co.kr/ch/public/1.php?checkedby:iptvcat.com
KBS1,http://mytv.dothome.co.kr/ch/public/12.php
KBS1,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=kbs1_540&sid=QNwU6Hlhm0iQWWfUrQ0b67VXds4sj4p3obr6MFdt&secret=1ac1dd83e3cd7930bf87e5c1fbe713df&time=1696828302
KBS1,https://tv.iill.top/kbs/11&p=0
KBS1,http://am30.modhospital.kr:9981/stream/channelid/114?ticket=4A2814C35C3585BA79A5EB04AB573B7DDDA1F261
KBS1,http://mytv.dothome.co.kr/ch/public/1.php/.m3u8
KBS1,http://mytv.dothome.co.kr/ch/public/11.php
KBS2,http://youtv.dothome.co.kr/ch/public/3.php
KBS2,http://mytv.dothome.co.kr/ch/public/3.php
KBS2,http://mytv.dothome.co.kr/ch/public/3.php
KBS2,http://mytv.dothome.co.kr/ch/public/3.php?checkedby:iptvcat.com
KBS2,http://mytv.dothome.co.kr/ch/public/3.php/.m3u8
KBS2,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=kbs2_540&sid=RbbcTZHmEnlKeN3sgMEKARGXKdWqnbz9ADgNNU7i&secret=dcc9a9d6b45c309e4a725322381e4dae&time=1696828290
KBS2,http://am30.modhospital.kr:9981/stream/channelid/117?ticket=DF419E5D312B3ACE955ECF93B1B89CC9A3834E35
KBS2,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=kbs2_540&sid=nGwIH0XSiD8i6BgNlw1BzsZ9ZkNGavHRb7KWRaUB&secret=24378334b2628dc756899977221fbe37&time=1742499579
KBS2,https://tv.iill.top/kbs/12&p=0
SBS,http://im28.modhospital.kr:9981/stream/channelid/21?ticket=8377795A0524F17DBA1E603DE3660731D60DCD83
SBS,http://www.hwado.net/webtv/catv/502_76142D8F.php
SBS,https://tistory1.daumcdn.net/tistory/2864460/skin/images/CATV_2_76142D8F.m3u8
SBS,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=sbs_540&sid=CK45nVecsqumJABGLWQSH9lLnJLYCsrHqRYvh8yT&secret=c924444c2e10e6a9d11fd26170a3f60c&time=1742499811
SBS,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=sbs_540&sid=GGDC0gwz3QeUI0p2Z4RPOEsj7LGFSw61ci0Vh6Z0&secret=1196d46edb0e54cba5b5850c62672fae&time=1696828259
SBS,http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
SBS,http://119.200.131.11:1935/KBCTV/tv/chunklist_w1292651282.m3u8
SBS,https://yao.ng/c5hQjT
SBS,https://stream1.knn.co.kr/hls/9ly4534y7dm2xfa123r2_tv/index.m3u8
SBS,http://1.245.74.5:1935/live/tv/chunklist_b2500000.m3u8
MBC,http://im28.modhospital.kr:9981/stream/channelid/20?ticket=318D2D9B6EFD1467AB842EA5F728E321B63A0B17
MBC,http://www.hwado.net/webtv/catv/503_CFEA7803.php
MBC,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=mbc_540&sid=Goq6ILESrcaM2Hi4vnr7bNx400cW1BcP9Jmv1Xh1&secret=a354329c49edea258c73d3c2895f67fb&time=1696828264
MBC,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
